outlet,guid,title,link,first_seen,cluster_id
NHK,https://news.web.nhk/newsweb/na/nd-20260911de49642,中部電力 浜岡原発再稼働に向けた審査 申請取り下げで最終調整,https://news.web.nhk/newsweb/na/nd-20260911de49642,2026-09-11T04:50:00Z,1
朝日新聞,http://www.asahi.com/articles/ASV9C048PV9CULFA01XM.html?ref=rss,浜岡原発再稼働の審査申請取り下げも検討　中部電、データ不正めぐり,http://www.asahi.com/articles/ASV9C048PV9CULFA01XM.html?ref=rss,2026-09-11T04:50:00Z,1
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/020/107000c,浜岡原発の再稼働申請　中部電が取り下げ検討　データ不正操作,https://mainichi.jp/articles/20260911/k00/00m/020/107000c,2026-09-11T04:50:00Z,1
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/020/350000c,浜岡原発再稼働審査、困難と判断か　中部電力が申請取り下げ方針,https://mainichi.jp/articles/20260911/k00/00m/020/350000c,2026-09-11T14:33:00Z,1
NHK,https://news.web.nhk/newsweb/na/nd-20260911de49814,俳優 森本レオさん死去 83歳 俳優・ナレーターとして活躍,https://news.web.nhk/newsweb/na/nd-20260911de49814,2026-09-11T14:33:00Z,2
朝日新聞,http://www.asahi.com/articles/ASV9C4CQLV9CUCVL03PM.html?ref=rss,森本レオさん死去、83歳　穏やかな語り口、「トーマス」ナレーター,http://www.asahi.com/articles/ASV9C4CQLV9CUCVL03PM.html?ref=rss,2026-09-11T14:33:00Z,2
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/200/363000c,俳優の森本レオさん死去　83歳　「きかんしゃトーマス」で語り,https://mainichi.jp/articles/20260911/k00/00m/200/363000c,2026-09-11T14:33:00Z,2
朝日新聞,http://www.asahi.com/articles/ASV6Q7JFLV6QULFA01QM.html?ref=rss,中部電力の浜岡原発データ不正問題とは　14日に会見、報告書公表,http://www.asahi.com/articles/ASV6Q7JFLV6QULFA01QM.html?ref=rss,2026-09-11T04:50:00Z,3
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/020/368000c,中部電力・勝野会長が辞任の意向　浜岡原発データ不正責任踏まえ,https://mainichi.jp/articles/20260911/k00/00m/020/368000c,2026-09-11T14:33:00Z,3
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/040/208000c,療養中の外国人の生活保護、支給認めず　最高裁　判事1人は反対,https://mainichi.jp/articles/20260911/k00/00m/040/208000c,2026-09-11T09:50:00Z,4
朝日新聞,http://www.asahi.com/articles/ASV9C34F9V9CUTIL01GM.html?ref=rss,外国人の生活保護認めず、最高裁で原告敗訴　判事1人「排除は違憲」,http://www.asahi.com/articles/ASV9C34F9V9CUTIL01GM.html?ref=rss,2026-09-11T14:33:00Z,4
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/040/228000c,ソニー生命で新たに5490万円詐取が判明　営業社員3人、顧客から,https://mainichi.jp/articles/20260911/k00/00m/040/228000c,2026-09-11T09:50:00Z,5
朝日新聞,http://www.asahi.com/articles/ASV9C3QB4V9CULFA01TM.html?ref=rss,ソニー生命で保険解約させる詐取　新たに顧客19人5490万円被害,http://www.asahi.com/articles/ASV9C3QB4V9CULFA01TM.html?ref=rss,2026-09-11T14:33:00Z,5
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/040/001000c,ピアニストの北川暁子さん死去　81歳　東京芸大名誉教授,https://mainichi.jp/articles/20260911/k00/00m/040/001000c,2026-09-10T18:33:00Z,6
朝日新聞,http://www.asahi.com/articles/ASV9C2PCTV9CUCVL02CM.html?ref=rss,ピアニストの北川暁子さんが死去　ベートーベンの演奏で活躍,http://www.asahi.com/articles/ASV9C2PCTV9CUCVL02CM.html?ref=rss,2026-09-11T09:50:00Z,6
NHK,https://news.web.nhk/newsweb/na/nd-20260910de49469,警察庁 DNA型鑑定不正の再発防止策で「アドバイザー」委嘱,https://news.web.nhk/newsweb/na/nd-20260910de49469,2026-09-10T04:53:00Z,7
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/040/082000c,警察庁、DNA型鑑定アドバイザーを外部委嘱　佐賀県警不正受け,https://mainichi.jp/articles/20260911/k00/00m/040/082000c,2026-09-11T04:50:00Z,7
NHK,https://news.web.nhk/newsweb/na/nd-20260911de49635,8月企業物価指数 前年同月比7.6％上昇 高水準続く,https://news.web.nhk/newsweb/na/nd-20260911de49635,2026-09-11T00:15:00Z,8
朝日新聞,http://www.asahi.com/articles/ASV9C0GQLV9CULFA003M.html?ref=rss,8月の企業物価、前年比7.6%上昇　3カ月連続で7%超えに,http://www.asahi.com/articles/ASV9C0GQLV9CULFA003M.html?ref=rss,2026-09-11T04:50:00Z,8
NHK,https://news.web.nhk/newsweb/na/nd-20260911de49664,相模原 高校生暴行死 知人への傷害容疑で少年4人逮捕,https://news.web.nhk/newsweb/na/nd-20260911de49664,2026-09-11T04:50:00Z,9
朝日新聞,http://www.asahi.com/articles/ASV9B4FSCV9BULOB00WM.html?ref=rss,相模原17歳死亡、一緒にいた中学生への傷害容疑　少年4人を逮捕,http://www.asahi.com/articles/ASV9B4FSCV9BULOB00WM.html?ref=rss,2026-09-11T04:50:00Z,9
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/040/023000c,傷害容疑で少年4人逮捕　相模原の高校生死亡関与か　神奈川県警,https://mainichi.jp/articles/20260911/k00/00m/040/023000c,2026-09-11T04:50:00Z,9
朝日新聞,http://www.asahi.com/articles/ASV9B4JMVV9BULFA023M.html?ref=rss,NY原油、一時5月以来の100ドル台　米イランの対立長期化に懸念,http://www.asahi.com/articles/ASV9B4JMVV9BULFA023M.html?ref=rss,2026-09-10T14:31:00Z,10
毎日新聞,https://mainichi.jp/articles/20260911/k00/00m/020/083000c,NY原油100ドル突破　5月以来の高値　米長期金利は急上昇,https://mainichi.jp/articles/20260911/k00/00m/020/083000c,2026-09-11T04:50:00Z,10
毎日新聞,https://mainichi.jp/articles/20260910/k00/00m/040/078000c,リュウグウは太陽系誕生「初期世代」の天体の残骸か　北大など,https://mainichi.jp/articles/20260910/k00/00m/040/078000c,2026-09-10T18:33:00Z,11
NHK,https://news.web.nhk/newsweb/na/nd-20260910de49609,小惑星リュウグウは太陽系初期の天体の残骸 北海道大学など,https://news.web.nhk/newsweb/na/nd-20260910de49609,2026-09-10T21:42:00Z,11
NHK,https://news.web.nhk/newsweb/na/nd-20260910de49611,紀子さま 60歳の誕生日,https://news.web.nhk/newsweb/na/nd-20260910de49611,2026-09-10T18:33:00Z,12
朝日新聞,http://www.asahi.com/articles/ASV991TJHV99UTIL00VM.html?ref=rss,紀子さま、60歳の誕生日　「子どもたちの幸せ願い、見守りたい」,http://www.asahi.com/articles/ASV991TJHV99UTIL00VM.html?ref=rss,2026-09-10T18:33:00Z,12
